Name,Student_ID,Gender,Department,Year,Previous_Backlogs,Student_Attendance_Percentage,Previous_Semester_Marks,Internal_Assessment_Marks,Assignment_Scores,Study_Hours_Per_Day,Class_Participation_Percentage,Completed_Assignments,Previous_Exam_Performance,Learning_Activities_Score,Socio_Academic_Factors_Score,Final_Performance_Percentage,Performance_Category
Varshini,STU1041,Female,EEE,4th Year,0,77.88,63.47,70.12,86.13,2.16,54.82,10,71.02,6,68.19,74.27,Average
Nivetha,STU1135,Female,EEE,3rd Year,0,79.56,75.21,75.95,56.6,4.57,58.17,8,71.55,2,69.05,60.2,Pass
Swathi,STU1132,Female,Mechanical,1st Year,1,77.06,71.07,62.47,73.11,2.69,73.9,10,69.02,5,67.09,65.88,Average
Pooja,STU1101,Female,Artificial Intelligence,2nd Year,1,81.84,70.31,53.53,63.72,2.29,36.86,10,81.83,1,67.64,71.4,Average
Shreya,STU1103,Male,Artificial Intelligence,3rd Year,0,77.17,74.34,71.64,81.25,2.09,61.48,10,81.43,5,78.23,74.46,Average
Akshaya,STU1025,Male,Artificial Intelligence,1st Year,0,78.67,85.17,84.29,79.73,2.94,45.8,10,,7,82.59,71.41,Average
Yamuna,STU1025,Male,Artificial Intelligence,1st Year,0,78.67,85.17,84.29,79.73,2.94,45.8,10,,7,82.59,71.41,Average
Rithika,STU1045,Male,Artificial Intelligence,4th Year,0,89.28,75.45,57.69,73.45,0.95,45.36,10,70.28,2,66.51,65.77,Average
Bhavya,STU1006,,ECE,4th Year,0,81.58,70.92,62.26,63.71,3.43,66,10,68.82,5,63.69,57.76,Pass
Mithra,STU1169,Male,ECE,2nd Year,0,87.72,79.57,77.93,82.11,4.08,68.89,10,73.88,7,88.81,83.99,Good
Sindhu,STU1277,Male,Artificial Intelligence,3rd Year,0,99.3,94.77,90.75,85.62,2.43,68.77,10,71.96,5,72.84,81.02,Good
Tharani,STU1271,Male,Computer Science,1st Year,1,74.34,75.34,,68.61,7.04,73.33,10,77.59,7,80.92,78.74,Good
Roshini,STU1144,Male,EEE,1st Year,3,67.9,47.71,41.89,61.26,4.07,69.57,10,55.78,4,73.79,51.65,Pass
Nithya,STU1043,Female,Computer Science,2nd Year,0,95.72,81.26,68.69,77.14,4.11,73.56,10,80.26,7,86.77,79.69,Good
Kowsalya,STU1228,Male,ECE,4th Year,0,81.15,69.81,73.78,68.99,3.8,51.43,10,68.28,5,65.6,77.77,Good
Vignesh,STU1234,Female,Artificial Intelligence,2nd Year,0,88.1,55.45,61.82,66.44,5.5,69.21,10,59.88,4,72.36,68.55,Average
Sanjay,STU1145,Female,Civil,3rd Year,2,79.62,44.62,52.6,67.43,1.48,49.31,10,52.35,4,63.91,58.25,Pass
Arun,STU1237,Male,Information Technology,1st Year,0,89.59,72.78,72.14,75.55,1.73,54.92,10,67.97,3,78.15,71.38,Average
Karthik,STU1019,Male,Civil,2nd Year,0,100,72.96,69.76,70.97,5.6,63.15,10,62.37,4,77.76,79.4,Good
Dinesh,STU1122,Female,ECE,3rd Year,1,94.69,69.82,63.47,77.48,3.27,85.7,10,73.66,3,86.97,75.65,Good
Praveen,STU1286,Female,Information Technology,1st Year,1,66.85,57.31,65.28,60.94,0.5,57,10,60.75,3,71.27,53.1,Pass
Suresh,STU1255,Female,ECE,1st Year,0,69.77,78.45,66.93,63.22,4.63,48.62,8,76.44,5,69.61,57.4,Pass
Rakesh,STU1088,Male,Information Technology,2nd Year,0,100,76.81,74.35,81.77,2.94,62.18,10,82.46,1,91.83,85.49,Excellent
Rahul,STU1197,Other,Information Technology,1st Year,0,91.17,63.13,65.52,72.74,1.94,47.27,10,47.52,4,67.53,68.18,Average
Aravind,STU1231,Female,ECE,3rd Year,1,89.29,66.19,64.21,72.06,0.5,51.7,10,55.89,3,70.11,62.8,Pass
Ashwin,STU1247,Female,Mechanical,1st Year,0,91.01,69.38,83.16,94.42,2.05,48.88,10,60.92,5,63.55,73.32,Average
Hari,STU1262,Male,Computer Science,3rd Year,2,77.4,46.57,63.65,58.95,3.62,56.24,10,50.35,6,70.97,60.63,Pass
Gokul,STU1159,Male,Computer Science,2nd Year,3,59.85,40.64,50.43,54.54,8.49,67.34,10,53.76,6,53.06,56.62,Pass
Mohan,STU1116,Male,EEE,4th Year,0,72.21,76.47,70.8,46.68,3.7,77.6,9,98.18,6,88.54,66.28,Average
Manoj,STU1298,Female,EEE,2nd Year,0,75.85,67.89,,69.88,1.54,36.76,10,71,5,72.66,64.29,Pass
Vishnu,STU1269,Female,Artificial Intelligence,4th Year,0,,83.48,,51.25,1.16,51.95,7,86.62,1,65.4,66.17,Average
Surya,STU1245,Male,EEE,3rd Year,2,64.81,58.34,56.58,68.63,6.88,62.23,10,61.44,5,59.18,64.66,Pass
Ajay,STU1157,Female,Computer Science,4th Year,0,96.76,93.92,86.53,84.48,2.19,64.79,10,97.29,4,75.61,83.23,Good
Akash,STU1209,Male,EEE,2nd Year,0,,78.47,65.36,65.12,5.21,76.03,10,73.4,7,76.85,65.25,Average
Bharath,STU1190,Male,Civil,4th Year,0,93.9,73.78,82.43,76.63,2.36,79.07,10,60.61,4,73.39,77.65,Good
Deepak,STU1201,Male,Computer Science,3rd Year,1,93.67,69.5,75.05,78.71,5.83,71.64,10,62.54,6,79.85,76.66,Good
Naveen,STU1177,Female,Civil,4th Year,0,74.46,79.53,69.91,66.04,2.42,45.41,10,88.98,4,64.59,62.48,Pass
Sathish,STU1174,Female,Artificial Intelligence,1st Year,1,68.38,49.98,53.99,57.93,4.2,62.86,10,69.89,6,73.89,57.99,Pass
Saravanan,STU1280,Female,Computer Science,3rd Year,1,76,81.66,67.24,77.7,4.41,56.86,10,72.2,4,73.46,71.23,Average
Lokesh,STU1238,Male,ECE,1st Year,1,88.11,57.42,57.49,74.05,3.6,68.48,10,73.84,2,67.79,64.21,Pass
Rohit,STU1089,Female,Civil,2nd Year,0,,85.99,73.82,72.01,2.54,81.65,10,70.21,4,94.13,77.23,Good
Vivek,STU1046,Female,Information Technology,4th Year,0,98.07,85.05,88.91,88.46,3.54,86.38,10,96.04,7,100,88.16,Excellent
Dharun,STU1244,Female,EEE,2nd Year,1,66.11,63.37,69.22,62.87,4.71,59.67,10,61.04,3,68.82,54.1,Pass
Yashwanth,STU1063,Male,Computer Science,2nd Year,2,82.2,64.43,66.2,70.6,2.38,38.77,10,59.18,4,75.02,60.28,Pass
Adithya,STU1057,Female,Information Technology,1st Year,1,88.98,,60.65,64.02,1.29,57.95,10,58.78,4,74.29,60.43,Pass
Abhishek,STU1065,Male,,3rd Year,1,68.31,68.01,59.92,69.21,1.92,43.81,10,62.71,4,66.12,57.03,Pass
Siddharth,STU1134,Female,Computer Science,2nd Year,0,92.19,71.23,77.15,89.2,3.07,78.26,10,81.83,4,78.92,87.41,Excellent
Varun,STU1181,Male,Information Technology,4th Year,0,100,,75.52,65.06,1.22,71.09,10,84.86,5,92.94,71.66,Average
Kishore,STU1199,Female,EEE,2nd Year,2,72.54,63.54,61.99,63.3,4.71,49.29,10,54.37,7,59.71,71.22,Average
Pranav,STU1254,Male,Computer Science,1st Year,0,92.56,84.24,78.05,75.74,0.5,51.77,10,72.15,3,83.89,75.05,Good
Ranjith,STU1047,Male,Artificial Intelligence,3rd Year,2,67.72,70.58,61.35,60.36,3.38,62.74,10,70.69,4,65.22,62.85,Pass
Santhosh,STU1223,Male,ECE,1st Year,2,75.83,40.8,44.42,53.3,3.5,72.07,10,40.34,4,65.86,49.94,Fail
Muthukumar,STU1268,Male,Mechanical,1st Year,0,91.92,81.78,83.44,62.67,,67.12,10,88.31,6,69.15,80.3,Good
Kavin,STU1225,Female,Computer Science,3rd Year,0,78.21,82.31,77.44,63.87,2.23,67.75,10,71.13,1,76.11,70.28,Average
Gowtham,STU1204,Female,Civil,3rd Year,0,73.33,79.78,62.5,59.5,3.63,56.28,10,68.52,3,54.92,65.39,Average
Jeevan,STU1054,Male,Mechanical,3rd Year,0,84.89,70.89,63.29,62.86,4.53,53.34,10,85.33,3,82.02,72.08,Average
Karthikeyan,STU1081,Female,Civil,4th Year,0,76.66,79.76,69.28,80.09,,65.9,10,65.75,3,75.44,64.59,Pass
Naveena,STU1072,Male,ECE,4th Year,0,79.38,68.14,60.54,69.87,5.69,71.39,10,58.27,5,72.32,70.7,Average
Aarthi,STU1038,Male,EEE,4th Year,0,77.17,73.81,68.15,69.29,2.47,51.72,10,73.66,4,54.81,57.13,Pass
Anu,STU1013,Male,Information Technology,1st Year,4,54,35.01,55.69,53.07,,55.1,9,37.79,3,47.52,50.81,Pass
Bhavana,STU1207,Female,Information Technology,4th Year,0,81.68,78.15,89.55,81.54,4.55,67.44,10,88.45,5,81.08,71.54,Average
Chandrika,STU1178,Male,ECE,2nd Year,0,79.79,75.2,68.64,66.06,3.91,65.39,10,74.46,3,62.76,69.28,Average
Dharshika,STU1005,Male,ECE,2nd Year,0,95.4,77.93,88.68,76.93,3.33,73.89,10,89.88,5,86.84,77.29,Good
Ishwarya,STU1282,Male,ECE,3rd Year,1,56.59,,53.71,66.24,2.88,62.75,9,54.56,3,55.58,59.37,Pass
Madhumitha,STU1100,Male,Computer Science,4th Year,0,63.49,67.19,62.59,51.55,3.63,71.84,9,66.03,5,58.23,64.48,Pass
Nandita,STU1166,Female,ECE,3rd Year,0,73.52,62.48,52.51,68.59,2.48,40.25,10,74.16,6,55.62,66.94,Average
Preethi,STU1066,Male,Civil,2nd Year,2,71.68,65.88,71.8,62.27,1.47,46.21,10,62.92,3,62.83,56.08,Pass
Ranjani,STU1056,Male,Computer Science,4th Year,0,84.12,63.32,72.26,73.29,0.5,43.03,10,66.16,4,69.35,66.51,Average
Revathi,STU1002,Male,Artificial Intelligence,3rd Year,1,61.29,59.24,57.82,69.65,3.95,72.9,10,,4,73.65,68.71,Average
Sakthi,STU1187,Female,Computer Science,1st Year,0,61.2,69.49,56.51,57.3,3.58,74.8,10,83.48,4,74.79,67.4,Average
Sharmila,STU1115,Male,Civil,1st Year,0,70.73,61.99,61.31,61.88,4.31,54.54,9,65.05,4,61.52,58.92,Pass
Soundarya,STU1092,Female,Computer Science,2nd Year,0,70.53,56.66,47.7,61.25,3.15,76.84,10,59.78,6,71.84,67.72,Average
Thenmozhi,STU1239,Other,Artificial Intelligence,3rd Year,1,65.36,63.56,75.05,65.14,,53.91,10,79.14,4,62.48,70.9,Average
Usha,STU1129,Male,Artificial Intelligence,4th Year,0,76.1,86.46,67.61,41.72,5.96,60.86,10,72.76,5,90.96,75.52,Good
Vani,STU1235,Male,Information Technology,1st Year,1,,62.67,79.17,76.57,3.07,59.51,10,69.11,4,68.88,66.36,Average
Yogitha,STU1062,Female,Information Technology,3rd Year,1,72.67,57.16,58.31,58.92,5.2,64.09,10,69.91,6,66.05,58.44,Pass
Jayanivethini,STU1293,Female,Mechanical,4th Year,0,82.85,71.47,68.63,75.48,2.69,58.47,10,57.59,3,77.15,72.95,Average
Jayanti,STU1027,Male,Civil,3rd Year,0,73.66,59.65,65.91,52.99,3.19,61.34,9,73.24,3,78.66,64.83,Pass
Vijay,STU1051,Male,Artificial Intelligence,3rd Year,0,72.26,86.98,63.14,53.87,3.74,64.68,8,80.29,5,81.21,74.42,Average
Priya,STU1079,Female,Information Technology,1st Year,0,75.73,82.24,65.74,72.43,2.5,55.18,10,75.97,6,67.01,71.47,Average
Kavya,STU1110,Male,Computer Science,2nd Year,0,90.29,71.17,72.46,73.52,,72.23,10,58.68,7,83.4,75.93,Good
Divya,STU1151,Male,Artificial Intelligence,3rd Year,0,87.2,66.44,79.1,87.49,3.34,57.49,10,83.34,5,79.89,65.65,Average
Harini,STU1242,Male,Civil,3rd Year,0,91.88,72.86,69.04,75.27,4.41,61.31,10,67.87,5,69.97,79.41,Good
Keerthana,STU1175,Female,Mechanical,4th Year,0,98.81,80.61,77.51,71.32,2.73,62.24,10,81.77,5,72.59,71,Average
Nandhini,STU1049,,ECE,2nd Year,1,81.02,59.27,62.72,76.6,0.66,50.98,10,50.99,3,68.08,61.3,Pass
Swetha,STU1171,Female,EEE,3rd Year,0,70.33,76.32,61.9,42.31,1.9,54.24,10,76.72,4,64.09,69.23,Average
Aishwarya,STU1263,Other,EEE,1st Year,0,75.55,67.18,77.42,70.64,4.37,50.43,10,78.26,5,85.85,65.08,Average
Pavithra,STU1194,Male,Computer Science,2nd Year,2,70.51,47.12,43.06,64.94,1.63,49.57,10,48.22,4,71.19,56.25,Pass
Dharani,STU1296,Female,Computer Science,1st Year,0,71.42,76.12,55.1,67.44,2.86,73.74,10,66.4,2,67.1,74.99,Average
Sangeetha,STU1150,Female,Information Technology,4th Year,2,85.32,54.21,68.5,63.85,3.72,77,10,69.55,4,72.54,63.28,Pass
Anitha,STU1120,,Mechanical,3rd Year,2,82.31,71.1,67.82,90.8,3.21,70.36,10,62.98,7,68.17,68.1,Average
Deepika,STU1192,Male,Artificial Intelligence,1st Year,2,90.25,72.58,56.86,79.82,7.62,64.97,10,70.11,5,74,80.61,Good
Monisha,STU1082,Male,Information Technology,4th Year,0,86.67,58.02,63.19,76.51,4.25,72.14,10,66.15,5,82.22,69.22,Average
Sandhya,STU1256,Female,Information Technology,3rd Year,0,99.88,98,66.43,81.19,1.06,77.51,10,85.35,4,94.36,80.76,Good
Abinaya,STU1257,Male,Civil,1st Year,1,87.2,67.14,68.4,73.17,4.32,68.38,10,66.68,8,85.57,66.4,Average
Shalini,STU1053,Male,Computer Science,4th Year,1,51.46,66.01,69.76,67.24,3.29,31.06,10,76.33,2,60.54,58.07,Pass
Ramya,STU1176,Male,Computer Science,4th Year,0,100,75.08,79.94,79.07,4.32,68.12,10,78.7,4,97.6,77.24,Good
Vaishnavi,STU1055,Male,Computer Science,2nd Year,2,40,35.11,59.23,69.1,6.17,34.84,10,41.49,6,42.73,56.09,Pass
Lavanya,STU1035,Female,Civil,4th Year,0,92.17,79.27,50.95,61.36,3.22,68.21,10,87.58,3,95.84,68.01,Average
Dhivya,STU1205,Male,Computer Science,4th Year,0,73.89,62.69,49.37,56.02,6.33,62.92,10,52.88,3,71.5,59.11,Pass
Meena,STU1111,Male,Artificial Intelligence,1st Year,0,71.09,80.34,67.51,80.56,5.99,72.19,10,75.62,8,68.4,82.19,Good
Mahalakshmi,STU1259,,Mechanical,4th Year,0,87.58,80.54,73.17,58.89,3.87,76.48,10,73.65,7,63.3,75.16,Good
Sowmya,STU1291,Male,Mechanical,2nd Year,0,82.08,66.4,66.92,53.94,1.79,54.01,10,63.84,4,74.41,59.01,Pass
Sneha,STU1156,Female,Information Technology,3rd Year,0,81.5,65.24,64.48,58.51,5.76,57.83,10,78.72,5,66.64,70.83,Average
Srinithi,STU1274,Male,Computer Science,4th Year,2,61.83,65.13,68.6,76.13,5.09,72.28,10,74.13,5,63.48,64.09,Pass
Janani,STU1276,Female,ECE,4th Year,0,94.4,66.24,62.59,64.74,4.92,80.9,10,73.57,6,97.34,72.62,Average
Karthika,STU1040,Male,ECE,3rd Year,2,72.8,57.5,69.22,60.26,3.69,54.22,10,66.18,5,69.9,64.04,Pass
Anjali,STU1200,,EEE,1st Year,1,88.85,,76.55,87.02,2.71,66.57,10,90.9,2,65.03,76.83,Good
Gayathri,STU1016,Female,Information Technology,4th Year,0,80.66,74.73,,80.07,2.05,67.74,10,90.63,4,71.26,72.7,Average
Reshma,STU1104,Male,Information Technology,4th Year,1,61.65,73.04,64.3,76.17,4.5,53.48,10,63.86,5,60.42,70.09,Average
Varshini,STU1233,Male,EEE,2nd Year,1,93.57,62.19,71.15,75.16,1.39,51.26,10,51.31,2,78.13,79.69,Good
Nivetha,STU1278,Male,Civil,4th Year,0,75.28,71.16,61.06,71.33,3.59,67.21,10,63.09,4,64.86,70.18,Average
Swathi,STU1265,Female,ECE,4th Year,0,81.39,82.58,81.12,84.93,6.98,60.18,10,74.28,7,72.72,74.98,Average
Pooja,STU1284,Male,Civil,2nd Year,1,75.2,68.94,56.96,56.95,,41.98,10,67.31,2,66.8,55.84,Pass
Shreya,STU1208,Male,ECE,3rd Year,1,53.38,51.96,48.74,75.51,4.63,62.3,10,56.89,7,58.7,57.85,Pass
Akshaya,STU1297,Male,Artificial Intelligence,2nd Year,1,58.5,59.02,58.83,79.95,2.54,56.15,10,51.9,5,52.72,64.95,Pass
Yamuna,STU1186,Female,EEE,3rd Year,0,79.5,89.95,91.23,77.88,2.44,89.61,10,86.72,7,72.68,88.97,Excellent
Rithika,STU1285,Female,Artificial Intelligence,4th Year,2,51.71,65.53,69,65,5.22,46.86,10,90.46,4,61.33,72.56,Average
Bhavya,STU1032,Female,Computer Science,4th Year,1,82.62,68.04,79.39,66.29,0.5,49.88,10,74.48,2,69.37,66.47,Average
Mithra,STU1267,Female,,2nd Year,0,56.46,69.94,54.57,52.13,4.57,54.97,9,62.76,4,70.76,54.47,Pass
Sindhu,STU1147,Female,,3rd Year,2,73.44,65.13,58.62,71.38,1.84,52.9,10,66.46,2,64.86,67.32,Average
Tharani,STU1272,Male,Artificial Intelligence,2nd Year,0,87.83,69.47,71.71,,0.5,30.89,10,76.64,3,69.07,61.94,Pass
Roshini,STU1085,Male,Information Technology,1st Year,0,94.88,87.38,87.9,94.06,4.86,83.23,10,91.84,6,85.78,89.04,Excellent
Nithya,STU1223,Male,ECE,1st Year,2,75.83,40.8,44.42,53.3,3.5,72.07,10,40.34,4,65.86,49.94,Fail
Kowsalya,STU1087,Female,Civil,2nd Year,1,68.75,48.51,58.55,73.84,1.78,50.38,9,51.95,2,64.96,64.06,Pass
Vignesh,STU1232,Male,ECE,4th Year,0,60.61,54.97,34.96,37.56,5.56,57.78,8,53.3,5,56.42,53.47,Pass
Sanjay,STU1105,Male,Computer Science,3rd Year,1,86.1,56.09,52.21,63.45,4.59,63.87,9,56.05,5,77.77,66.93,Average
Arun,STU1155,Female,Civil,3rd Year,0,82.33,,61.49,64.99,0.5,54.48,10,,3,84.04,67.8,Average
Karthik,STU1010,Female,Artificial Intelligence,3rd Year,3,74.19,53.25,62.51,79.37,4.76,56.31,10,59.81,6,67.76,65.7,Average
Dinesh,STU1229,Female,Artificial Intelligence,4th Year,0,86.35,71.53,70.95,79.66,4.67,60.6,10,,4,83.53,71.2,Average
Praveen,STU1148,Male,EEE,2nd Year,2,83.54,52.63,67.54,58.35,5.32,61.12,10,70.57,3,63.54,64.75,Pass
Suresh,STU1212,,Computer Science,3rd Year,0,93.19,73.29,68.54,75.41,2.81,71.04,10,71.55,6,91.08,84.13,Good
Rakesh,STU1249,Male,ECE,4th Year,0,73.81,68.88,63.42,71.14,2.23,53.07,10,74.04,6,68.13,66.33,Average
Rahul,STU1121,Male,Computer Science,4th Year,0,93.47,80.59,64.32,65.28,3.01,68.82,10,73.89,3,86.85,70.49,Average
Aravind,STU1270,Female,Information Technology,3rd Year,3,72.79,42.03,55.14,60.35,3.55,71.51,10,33.01,6,61.33,52.32,Pass
Ashwin,STU1031,Female,Civil,3rd Year,0,76.02,66.39,55.69,71.27,4.35,72.7,10,65.51,5,68.58,69.85,Average
Hari,STU1037,Female,ECE,3rd Year,0,77.93,86.13,78.77,74.93,4.65,59.72,10,75.37,3,78.38,68.28,Average
Gokul,STU1220,Male,Civil,3rd Year,0,100,82.78,87.42,70.8,4.41,69.58,10,89.12,6,86.58,85.78,Excellent
Mohan,STU1012,Male,ECE,3rd Year,0,70.7,66.61,45.79,73.46,4.8,70.22,9,54.68,5,63.46,59.08,Pass
Manoj,STU1059,Female,Artificial Intelligence,3rd Year,0,84.75,68.58,67.14,72.82,5.82,76.43,10,74.9,8,93.84,67.57,Average
Vishnu,STU1005,Male,ECE,2nd Year,0,95.4,77.93,88.68,76.93,3.33,73.89,10,89.88,5,86.84,77.29,Good
Surya,STU1300,Female,Computer Science,4th Year,0,83.23,72.54,74.92,80.54,3.37,77.52,10,88.19,4,88.14,78.24,Good
Ajay,STU1119,Female,Information Technology,2nd Year,2,92.16,65.9,75.44,72.75,5.18,63.25,10,73.73,2,78.88,67.73,Average
Akash,STU1130,Male,Computer Science,4th Year,0,76.37,70.28,80.03,,4.91,62.23,10,65.53,3,68.92,68.44,Average
Bharath,STU1058,Female,Computer Science,2nd Year,1,65.6,42.92,55.59,63.79,,62.1,9,65.61,2,77.58,53.13,Pass
Deepak,STU1083,Female,Computer Science,3rd Year,0,91.41,81.25,,82.87,2.85,51.9,10,73.03,3,79.27,77.3,Good
Naveen,STU1180,Male,Artificial Intelligence,2nd Year,2,63.67,56.91,55.37,56.52,7.17,55.28,10,60.1,6,63.23,67.43,Average
Sathish,STU1182,Male,Mechanical,4th Year,3,53.11,44.41,,43.81,3.34,52.27,10,45.06,4,53.24,40.95,Fail
Saravanan,STU1142,Male,Information Technology,4th Year,1,86.98,80.19,75.44,90.27,2.75,41.69,10,74.43,5,64.56,74.19,Average
Lokesh,STU1068,Female,Computer Science,3rd Year,0,71.52,65.21,80.14,52.11,5.22,70.96,10,58.48,6,79,66.45,Average
Rohit,STU1152,Female,Civil,4th Year,0,71.36,75.78,60.46,92.37,0.5,51.2,10,66.23,3,68.41,62.87,Pass
Vivek,STU1046,Female,Information Technology,4th Year,0,98.07,85.05,88.91,88.46,3.54,86.38,10,96.04,7,100,88.16,Excellent
Dharun,STU1042,Male,Artificial Intelligence,2nd Year,0,79.64,91.59,83.53,64.97,7.88,60.81,10,100,5,72.33,74.15,Average
Yashwanth,STU1152,Female,Civil,4th Year,0,71.36,75.78,60.46,92.37,0.5,51.2,10,66.23,3,68.41,62.87,Pass
Adithya,STU1294,Female,Mechanical,3rd Year,0,,64.83,52.29,58.14,2.45,38.63,10,59.75,1,60.45,59.25,Pass
Abhishek,STU1167,Male,Mechanical,4th Year,0,81.5,78.77,66.26,97.79,3.95,82.37,10,74.51,5,78.81,86.25,Excellent
Siddharth,STU1154,Female,Information Technology,3rd Year,0,83.18,86.77,59.81,74.94,1.34,58.28,10,66.02,5,70.71,68.86,Average
Varun,STU1243,Female,Computer Science,3rd Year,2,82.73,65.5,58.77,57.95,2.5,50.49,10,57.95,4,72.6,63.68,Pass
Kishore,STU1107,Female,Artificial Intelligence,3rd Year,1,74.61,64.5,61.99,43.92,3.17,58.34,9,75.51,5,69.62,62.46,Pass
Pranav,STU1188,Female,Mechanical,2nd Year,0,84.73,73.16,86.2,89.13,5.47,61.18,10,78.29,4,78.01,72.96,Average
Ranjith,STU1179,Female,ECE,2nd Year,0,83.32,73.46,73.12,71.15,2.34,65.58,10,74.6,2,79.79,74.24,Average
Santhosh,STU1094,Male,Artificial Intelligence,1st Year,0,74.13,64.85,66.62,61,6.18,68.8,10,62.6,6,74.35,70.83,Average
Muthukumar,STU1266,Female,Information Technology,1st Year,2,79.53,64.5,62.46,74.09,3.61,59.68,10,61.91,4,64.09,57.51,Pass
